"cluster","n","WBC_DNCTL","WBW_DNCTL","WB_DNCTL","WC_DNCTL","WW_DCTL"
"1",3,0.0666666666666667,0,0,0,0
"1",2,0,0.0444444444444444,0,0,0
"1",1,0,0,0.0222222222222222,0,0
"1",30,0,0,0,0.666666666666667,0
"1",9,0,0,0,0,0.2
"2",1,0,0.0357142857142857,0,0,0
"2",25,0,0,0,0.892857142857143,0
"2",2,0,0,0,0,0.0714285714285714
"3",15,0,0.6,0,0,0
"3",3,0,0,0.12,0,0
"3",5,0,0,0,0.2,0
"3",2,0,0,0,0,0.08
"4",3,0.125,0,0,0,0
"4",5,0,0.208333333333333,0,0,0
"4",14,0,0,0,0.583333333333333,0
"4",2,0,0,0,0,0.0833333333333333
